Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pressure.data,temperature.data,depth.data
1654044187.2993422,1649,1654044187,298778057,,102852.76428375357,28.85021488547325,0.1588143345111909
1654044187.4995823,1650,1654044187,498843431,,102856.219395159,28.84568660259247,0.15916771797335397
1654044187.6995409,1651,1654044187,698812723,,102857.2668367232,28.85028099179268,0.1592748486799895
1654044187.8993776,1652,1654044187,898797988,,102854.66636332242,28.85388378620148,0.1590088762739528
1654044188.0994477,1653,1654044188,98811388,,102853.33303795115,28.852726925611496,0.15887250581274256
1654044188.2994905,1654,1654044188,298777103,,102845.59077132957,28.85021488547325,0.15808063873157763
1654044188.4994025,1655,1654044188,498774051,,102853.39209761028,28.851008161306382,0.15887854634353027
1654044188.6996384,1656,1654044188,698835611,,102852.71547485847,28.853982945680617,0.1588093424127289
1654044188.9012594,1657,1654044188,898797512,,102850.8951955873,28.855305072069168,0.15862316705816953
1654044189.099685,1658,1654044189,98846435,,102851.60727349267,28.855900028944017,0.1586959972873576
1654044189.29955,1659,1654044189,298855543,,102848.61559100913,28.851636171340942,0.15839001262010122
1654044189.499662,1660,1654044189,498874425,,102854.01710184338,28.857189102172853,0.15894247081190196
1654044189.6996095,1661,1654044189,698865652,,102854.19039211766,28.858015431165697,0.15896019467371092
1654044189.8995128,1662,1654044189,898777246,,102851.89073847332,28.857651846408842,0.15872498964809748
1654044190.0995574,1663,1654044190,98815917,,102853.48420698145,28.86184959769249,0.15888796714785774
1654044190.299356,1664,1654044190,298807144,,102852.3985466903,28.859073132276535,0.15877692748881325
1654044190.5005999,1665,1654044190,498816967,,102853.5957836089,28.858180696964265,0.15889937903311305
1654044190.6994326,1666,1654044190,698835372,,102851.98342720949,28.860494418144228,0.15873446970898353
1654044190.8995857,1667,1654044190,898788690,,102852.45367385953,28.86333698987961,0.1587825658106034
1654044191.1010747,1668,1654044191,100210428,,102854.23643492715,28.863436149358748,0.1589649038612068
1654044191.3017888,1669,1654044191,300116777,,102848.29280602418,28.86370057463646,0.158356998670005
1654044191.5012207,1670,1654044191,499990940,,102847.74853074457,28.86310561776161,0.15830133103440427
1654044191.7012782,1671,1654044191,700164318,,102853.69473041117,28.865254073143007,0.15890949915934188
1654044191.9007063,1672,1654044191,899953842,,102853.53424526757,28.868889920711517,0.1588930849865365
1654044192.1025972,1673,1654044192,100049495,,102852.49053773691,28.86611345529556,0.15878633619108862
1654044192.3018963,1674,1654044192,300370216,,102853.8070856455,28.864989647865297,0.15892099067930815
1654044192.501213,1675,1654044192,500184535,,102853.30550919058,28.867799166440964,0.1588696902135983
1654044192.7009745,1676,1654044192,699985980,,102854.06137163485,28.867402528524398,0.15894699865785047
1654044192.9009697,1677,1654044192,900061130,,102851.00798099756,28.862444554567336,0.1586347025758648
1654044193.1011746,1678,1654044193,100166082,,102849.40251815178,28.864791328907014,0.15847049831376106
1654044193.301011,1679,1654044193,299945831,,102852.87067100895,28.868526335954666,0.15882521563548016
1654044193.5009117,1680,1654044193,500114917,,102850.11205088563,28.866774518489837,0.15854306822673417
1654044193.7013707,1681,1654044193,700152158,,102850.30794800643,28.86670841217041,0.15856310428191606
1654044193.9009018,1682,1654044193,899890899,,102853.80202194041,28.87156722664833,0.1589204727713667
1654044194.1031356,1683,1654044194,100182056,,102852.54198582366,28.86855938911438,0.15879159822199912
1654044194.3010728,1684,1654044194,299977302,,102850.16384992114,28.869022133350374,0.15854836615214352
1654044194.5011594,1685,1654044194,500046491,,102851.06416782155,28.873715682029726,0.15864044927750748
1654044194.700916,1686,1654044194,699877738,,102850.2408089552,28.87279019355774,0.15855623740337424
1654044194.9006877,1687,1654044194,899851799,,102848.99063163059,28.872029970884324,0.15842837119605116
1654044195.1011808,1688,1654044195,100020885,,102852.03017202644,28.873120725154877,0.15873925069671851
1654044195.3010037,1689,1654044195,300080060,,102857.78392272041,28.88115264296532,0.159327735437749
1654044195.5010304,1690,1654044195,499972105,,102856.75587524287,28.877450689077378,0.15922258832836544
1654044195.7024002,1691,1654044195,699931144,,102853.44232735627,28.877054051160812,0.1588836837644289
1654044195.900831,1692,1654044195,900019645,,102859.46786162257,28.877979539632797,0.15949996610978504
1654044196.1006434,1693,1654044196,99901676,,102858.12866335678,28.879995782375335,0.15936299497798762
